fips,year,cover_crop_acres,acres_operated
04021,2017,5372,1174727
04023,2012,27,197735
04023,2017,65,214930
04025,2012,162,821929
04025,2017,70,824506
04027,2012,(D),247219
04027,2017,5690,214675
05001,2012,3226,414354
05001,2017,3741,402159
05003,2012,31,131948
05003,2017,647,111521
05005,2012,(D),101444
05005,2017,91,91868
05007,2012,1410,243753
05007,2017,1225,304845
05009,2012,589,305922
05009,2017,170,257154
05011,2012,(D),29716
05011,2017,212,19757
05013,2012,(D),18740
05013,2017,105,13875
05015,2012,614,290429
05015,2017,69,256416
05017,2012,2933,307498
05017,2017,8444,289534
05019,2012,152,102979
05019,2017,396,90215
05021,2012,4718,286482
05021,2017,6429,331467
05023,2012,438,129466
05023,2017,436,157449
05025,2012,129,31605
05025,2017,104,27197
05027,2012,(D),54343
05027,2017,43,45580
05029,2012,2112,171893
05029,2017,1309,179318
05031,2012,23058,321437
05031,2017,43581,337668
05033,2012,333,122319
05033,2017,2953,125292
05035,2012,1031,314694
05035,2017,2337,337904
05037,2012,2011,272288
05037,2017,3159,278915
05039,2012,0,29414
05039,2017,(D),21258
05041,2012,270,311484
05041,2017,4795,267088
05043,2012,18,133852
05043,2017,942,129835
05045,2012,1931,200539
05045,2017,1829,184958
05047,2012,192,183799
05047,2017,359,159864
05049,2012,399,224054
05049,2017,776,204424
05051,2012,(D),33950
05051,2017,(D),35682
05053,2012,101,49218
05053,2017,82,64677
05055,2012,4760,261146
05055,2017,12165,260400
05057,2012,280,186302
05057,2017,226,196439
05059,2012,294,77331
05059,2017,178,68714
05061,2012,(D),150126
05061,2017,134,146846
05063,2012,848,267507
05063,2017,6699,247879
05065,2012,473,189545
05065,2017,182,172579
05067,2012,1521,270804
05067,2017,3909,307098
05069,2012,1432,292354
05069,2017,1943,291703
05071,2012,436,103566
05071,2017,40,118391
05073,2012,(D),133235
05073,2017,101,115257
05075,2012,815,269678
05075,2017,1152,252785
05077,2012,10786,257883
05077,2017,16934,260738
05079,2012,875,208800
05079,2017,3866,199749
05081,2012,183,159335
05081,2017,NA,171551
05083,2012,1131,187008
05083,2017,226,197652
05085,2012,1287,367051
05085,2017,3441,338880
05087,2012,558,277701
05087,2017,549,269414
05089,2012,157,179306
05089,2017,273,136740
05091,2012,251,126613
05091,2017,376,163917
05093,2012,40115,476502
05093,2017,64258,475699
05095,2012,(D),202837
05095,2017,7566,268312
05097,2012,106,77302
05097,2017,204,74437
05099,2012,50,77557
05099,2017,(D),66659
05101,2012,469,100981
05101,2017,264,114211
05103,2012,0,28318
05103,2017,83,26024
05105,2012,1418,77610
05105,2017,646,70369
05107,2012,3653,363415
05107,2017,12387,352363
05109,2012,215,82459
05109,2017,188,70022
05111,2012,856,316508
05111,2017,1329,385236
05113,2012,273,140210
05113,2017,308,118851
05115,2012,1697,158605
05115,2017,598,153782
05117,2012,637,272597
05117,2017,2716,275197
05119,2012,824,79220
05119,2017,115,84058
05121,2012,192,222789
05121,2017,546,210550
05123,2012,3640,259422
05123,2017,11039,299747
05125,2012,190,41928
05125,2017,6,44838
05127,2012,331,93460
05127,2017,163,100278
05129,2012,525,195438
05129,2017,892,168795
05131,2012,82,100790
05131,2017,92,118855
05133,2012,121,142256
05133,2017,157,129229
05135,2012,434,161736
05135,2017,347,158279
05137,2012,310,159516
05137,2017,318,135205
05139,2012,256,36352
05139,2017,54,42503
05141,2012,290,127623
05141,2017,142,122875
05143,2012,2532,316738
05143,2017,995,311752
05145,2012,2223,344368
05145,2017,2191,355669
05147,2012,(D),255218
05147,2017,5642,274160
05149,2012,632,194263
05149,2017,329,160179
06001,2012,240,183282
06001,2017,219,177798
06003,2012,0,3173
06003,2017,NA,(D)
06005,2012,426,181492
06005,2017,1856,155187
06007,2012,7965,348300
06007,2017,10797,381019
06009,2012,303,239594
06009,2017,454,212140
06011,2012,3347,456873
06011,2017,3528,453061
06013,2012,503,155572
06013,2017,1185,127670
06015,2012,389,19770
06015,2017,635,(D)
06017,2012,891,91006
06017,2017,1124,128365
06019,2012,28623,1646540
06019,2017,21902,1721202
06021,2012,6101,466734
06021,2017,4088,668784
06023,2012,785,621043
06023,2017,1120,593597
06025,2012,2339,521729
06025,2017,2190,515783
06027,2012,9,286859
06027,2017,319,330840
06029,2012,16037,2295497
06029,2017,12120,2330233
06031,2012,5387,615958
06031,2017,4569,673634
06033,2012,1655,138430
06033,2017,2136,150721
06035,2012,797,473413
06035,2017,735,482680
06037,2012,87,57809
06037,2017,(D),91689
06039,2012,16252,645358
06039,2017,10689,653584
06041,2012,556,140075
06041,2017,440,170876
06043,2012,9,301362
06043,2017,(D),283611
06045,2012,7526,781737
06045,2017,7579,770257
06047,2012,24720,946385
06047,2017,17668,978667
06049,2012,592,571191
06049,2017,3857,523522
06051,2012,0,73031
06051,2017,325,56386
06053,2012,25993,1340142
06053,2017,29938,1268144
06055,2012,24002,255778
06055,2017,26492,253370
06057,2012,335,52061
06057,2017,419,42114
06059,2012,978,32401
06059,2017,1330,60497
06061,2012,895,118537
06061,2017,406,91403
06063,2012,(D),190922
06063,2017,871,174210
06065,2012,7426,263796
06065,2017,9305,344044
06067,2012,7803,260212
06067,2017,10362,246840
06069,2012,1841,520127
06069,2017,2363,604319
06071,2012,601,68228
06071,2017,823,77199
06073,2012,857,222094
06073,2017,1222,221538
06075,2012,0,90
06075,2017,NA,12
06077,2012,32205,772762
06077,2017,35562,787015
06079,2012,15628,931291
06079,2017,14669,1338874
06081,2012,433,45972
06081,2017,625,48160
06083,2012,10360,715067
06083,2017,9956,701039
06085,2012,1312,288084
06085,2017,744,229927
06087,2012,3803,63900
06087,2017,2294,99983
06089,2012,233,409975
06089,2017,723,376306
06091,2012,(D),57041
06091,2017,NA,39141
06093,2012,6224,687313
06093,2017,6439,722855
06095,2012,2419,342593
06095,2017,4071,407101
06097,2012,23490,567284
06097,2017,26959,589771
06099,2012,10655,722546
06099,2017,8297,768046
06101,2012,13195,380972
06101,2017,12946,375174
06103,2012,1343,613651
06103,2017,1587,616521
06105,2012,129,65800
06105,2017,62,175948
06107,2012,7742,1250121
06107,2017,7966,1239000
06109,2012,(D),122539
06109,2017,45,87813
06111,2012,532,260102
06111,2017,1586,281046
06113,2012,11828,459662
06113,2017,21926,460824
06115,2012,2459,179525
06115,2017,817,187638
08001,2012,2035,705289
08001,2017,3241,690528
08003,2012,4971,192030
08003,2017,6674,182420
08005,2012,436,282912
08005,2017,1177,283226
08007,2012,193,210147
08007,2017,302,210194
08009,2012,2293,1471783
08009,2017,2666,1503419
08011,2012,1690,734630
08011,2017,1500,725764
08013,2012,541,107043
08013,2017,1545,132948
08014,2012,300,8506
08014,2017,234,11158
08015,2012,191,66297
08015,2017,59,77665
08017,2012,3546,1075562
08017,2017,4510,977165
08019,2012,0,10357
08019,2017,NA,8296
08021,2012,1958,266278
08021,2017,3121,257691
08023,2012,2320,357617
08023,2017,300,376154
08025,2012,(D),484328
08025,2017,347,500066
08027,2012,(D),161337
08027,2017,259,188748
08029,2012,1192,236846
08029,2017,2525,250761
08031,2012,(D),129
08031,2017,(D),143
08033,2012,1018,157664
08033,2017,1264,159961
08035,2012,503,201574
08035,2017,187,200015
08037,2012,(D),155200
08037,2017,131,129458
08039,2012,2762,1018461
08039,2017,3010,1043135
08041,2012,897,630033
08041,2017,547,648916
08043,2012,215,278093
08043,2017,578,290438
08045,2012,364,475166
08045,2017,832,310854
08047,2012,0,3908
08047,2017,NA,5761
08049,2012,(D),240980
08049,2017,624,226886
08051,2012,(D),266922
08051,2017,254,190243
08053,2012,0,10478
08053,2017,NA,10234
08055,2012,311,581606
08055,2017,352,580907
08057,2012,0,301474
08057,2017,(D),342412
08059,2012,53,68536
08059,2017,52,68284
08061,2012,3546,1091807
08061,2017,424,1113160
08063,2012,9920,1357856
08063,2017,4597,1376777
08065,2012,0,11946
08065,2017,NA,12180
08067,2012,1085,549241
08067,2017,967,590435
08069,2012,904,482456
08069,2017,1838,450389
08071,2012,493,1796248
08071,2017,885,2140776
08073,2012,1510,1499785
08073,2017,2170,1473387
08075,2012,5841,1138144
08075,2017,13591,1099217
08077,2012,1324,342534
08077,2017,2222,386932
08079,2012,0,8428
08079,2017,NA,6628
08081,2012,274,953100
08081,2017,2284,929899
08083,2012,1412,690788
08083,2017,1208,690656
08085,2012,1578,330523
08085,2017,1819,329653
08087,2012,6602,659366
08087,2017,8681,647252
08089,2012,874,687530
08089,2017,850,706750
08091,2012,0,85105
08091,2017,(D),81321
08093,2012,(D),189110
08093,2017,NA,179948
08095,2012,5000,439213
08095,2017,4197,436499
08097,2012,(D),32718
08097,2017,62,32094
08099,2012,3791,1011291
08099,2017,864,1021915
08101,2012,380,895508
08101,2017,904,895269
08103,2012,578,410923
08103,2017,456,507343
08105,2012,3514,177452
08105,2017,1819,185489
08107,2012,735,465119
08107,2017,233,612532
08109,2012,5234,313811
08109,2017,3262,311373
08111,2012,0,NA
08111,2017,NA,NA
08113,2012,86,136062
08113,2017,139,126539
08115,2012,2528,348739
08115,2017,2568,335997
08117,2012,(D),26572
08117,2017,NA,25365
08119,2012,0,71366
08119,2017,NA,70911
08121,2012,4334,1357931
08121,2017,3158,1216248
08123,2012,14994,2098803
08123,2017,17291,1956491
08125,2012,21712,1400296
08125,2017,16553,1353401
09001,2012,373,52245
09001,2017,160,53948
09003,2012,4371,47858
09003,2017,4535,54062
09005,2012,4445,90322
09005,2017,3834,90963
09007,2012,195,16417
09007,2017,190,24070
09009,2012,970,26938
09009,2017,1078,42309
09011,2012,2719,60122
09011,2017,4106,65159
09013,2012,4120,35647
09013,2017,4758,47764
09015,2012,3260,51990
09015,2017,3337,58264
10001,2012,22903,182396
10001,2017,26259,172251
10003,2012,7501,67455
10003,2017,7401,64169
10005,2012,39722,275473
10005,2017,54462,272232
11001,2012,NA,NA
11001,2017,NA,NA
12001,2012,4095,178182
12001,2017,4424,187985
12003,2012,223,33295
12003,2017,88,32919
12005,2012,75,73584
12005,2017,162,10490
12007,2012,208,58841
12007,2017,863,35076
12009,2012,(D),156565
12009,2017,1315,146470
12011,2012,8,6738
12011,2017,13,14497
12013,2012,2533,118066
12013,2017,2457,42850
12015,2012,(D),112758
12015,2017,66,217222
12017,2012,90,55764
12017,2017,585,40541
12019,2012,0,(D)
12019,2017,48,51581
12021,2012,(D),148461
12021,2017,133,123608
12023,2012,3731,107074
12023,2017,1105,101451
12027,2012,53,334799
12027,2017,70,302869
12029,2012,618,56376
12029,2017,408,45189
12031,2012,(D),29990
12031,2017,41,28275
12033,2012,6459,58834
12033,2017,4106,74584
12035,2012,1533,79246
12035,2017,1709,43598
12037,2012,0,(D)
12037,2017,NA,1793
12039,2012,510,66243
12039,2017,1044,50805
12041,2012,3780,82214
12041,2017,4142,83904
12043,2012,(D),428689
12043,2017,(D),442750
12045,2012,(D),(D)
12045,2017,(D),4595
12047,2012,398,88310
12047,2017,2271,71884
12049,2012,341,376939
12049,2017,544,273916
12051,2012,0,433113
12051,2017,(D),495734
12053,2012,229,50285
12053,2017,397,61942
12055,2012,885,375798
12055,2017,1826,489912
12057,2012,5224,180300
12057,2017,3656,214940
12059,2012,5476,101260
12059,2017,2936,105535
12061,2012,117,182559
12061,2017,1258,162458
12063,2012,16170,275022
12063,2017,15355,262312
12065,2012,3071,167960
12065,2017,4170,129520
12067,2012,1624,93675
12067,2017,9824,91283
12069,2012,1850,183864
12069,2017,1372,152145
12071,2012,101,87189
12071,2017,103,87125
12073,2012,(D),91730
12073,2017,108,81311
12075,2012,11306,187472
12075,2017,8697,167359
12077,2012,63,34785
12077,2017,222,14182
12079,2012,2089,167677
12079,2017,5061,143008
12081,2012,9008,192630
12081,2017,9714,186380
12083,2012,3670,330914
12083,2017,1553,321474
12085,2012,557,153732
12085,2017,611,139310
12086,2012,450,78543
12086,2017,2136,81303
12087,2012,0,167
12087,2017,NA,476
12089,2012,110,54588
12089,2017,80,39335
12091,2012,1814,46588
12091,2017,2295,61484
12093,2012,2430,297439
12093,2017,2730,441824
12095,2012,4,109361
12095,2017,857,132480
12097,2012,(D),525055
12097,2017,810,547058
12099,2012,2591,487845
12099,2017,4623,513943
12101,2012,296,191517
12101,2017,105,171119
12103,2012,(D),2430
12103,2017,NA,1479
12105,2012,2758,487128
12105,2017,998,520899
12107,2012,2526,84656
12107,2017,2384,70352
12109,2012,9441,34400
12109,2017,8417,33632
12111,2012,164,225971
12111,2017,341,195155
12113,2012,8058,85080
12113,2017,5525,97636
12115,2012,(D),71165
12115,2017,154,80143
12117,2012,0,34926
12117,2017,103,21697
12119,2012,700,177071
12119,2017,382,183246
12121,2012,7078,169847
12121,2017,9077,193451
12123,2012,25,58713
12123,2017,289,37447
12125,2012,(D),53767
12125,2017,465,46238
12127,2012,1415,114284
12127,2017,722,106042
12129,2012,271,23667
12129,2017,32,30906
12131,2012,2381,89214
12131,2017,1034,147937
12133,2012,1881,45248
12133,2017,1331,58278
13001,2012,5511,128297
13001,2017,5965,122879
13003,2012,5296,71904
13003,2017,1532,86876
13005,2012,89,62167
13005,2017,303,57750
13007,2012,2430,130989
13007,2017,3146,146478
13009,2012,92,33886
13009,2017,426,18672
13011,2012,110,56417
13011,2017,172,59680
13013,2012,(D),22346
13013,2017,51,29806
13015,2012,3359,77416
13015,2017,2355,63894
13017,2012,847,52542
13017,2017,1508,57314
13019,2012,750,116745
13019,2017,4256,143424
13021,2012,(D),9096
13021,2017,10,14722
13023,2012,2148,48282
13023,2017,1546,65978
13025,2012,552,24484
13025,2017,133,23423
13027,2012,21695,178480
13027,2017,24629,148196
13029,2012,(D),25853
13029,2017,195,15223
13031,2012,16082,197216
13031,2017,32007,180275
13033,2012,4176,223049
13033,2017,9671,161332
13035,2012,155,31283
13035,2017,(D),21144
13037,2012,6255,115930
13037,2017,12013,107544
13039,2012,0,5545
13039,2017,8,15739
13043,2012,2439,54849
13043,2017,5341,53545
13045,2012,411,85249
13045,2017,381,85926
13047,2012,77,24138
13047,2017,754,20631
13049,2012,28,20710
13049,2017,18,13371
13051,2012,4,4677
13051,2017,11,3835
13053,2012,0,1738
13053,2017,NA,4081
13055,2012,(D),55263
13055,2017,1695,50094
13057,2012,21,24034
13057,2017,119,25173
13059,2012,63,8044
13059,2017,125,8887
13061,2012,(D),45178
13061,2017,(D),40000
13063,2012,(D),590
13063,2017,NA,835
13065,2012,(D),27459
13065,2017,(D),26665
13067,2012,(D),2524
13067,2017,47,5143
13069,2012,13903,189202
13069,2017,21030,168012
13071,2012,12933,185959
13071,2017,24419,188527
13073,2012,(D),22852
13073,2017,312,13099
13075,2012,958,78988
13075,2017,3387,68474
13077,2012,431,53318
13077,2017,283,55396
13079,2012,1868,35238
13079,2017,252,33921
13081,2012,6807,108108
13081,2017,6330,117251
13083,2012,125,29054
13083,2017,227,32482
13085,2012,100,18950
13085,2017,71,12709
13087,2012,15415,191850
13087,2017,23290,198954
13089,2012,3,468
13089,2017,4,2939
13091,2012,5576,103119
13091,2017,4082,90101
13093,2012,26165,186016
13093,2017,23558,126856
13095,2012,3120,64461
13095,2017,2883,65406
13097,2012,202,7082
13097,2017,53,8342
13099,2012,3346,167576
13099,2017,9921,169335
13101,2012,780,22839
13101,2017,3927,13311
13103,2012,1219,50492
13103,2017,7503,40439
13105,2012,109,79389
13105,2017,506,56992
13107,2012,5029,138527
13107,2017,9410,151723
13109,2012,1309,35597
13109,2017,(D),36039
13111,2012,(D),16358
13111,2017,80,13872
13113,2012,32,11291
13113,2017,38,11493
13115,2012,328,74861
13115,2017,451,70166
13117,2012,133,18024
13117,2017,81,16072
13119,2012,276,78774
13119,2017,411,77300
13121,2012,58,12228
13121,2017,125,14105
13123,2012,49,28373
13123,2017,45,25553
13125,2012,38,21472
13125,2017,779,24014
13127,2012,0,1925
13127,2017,43,3600
13129,2012,1411,74672
13129,2017,1359,84936
13131,2012,8859,123713
13131,2017,5902,130258
13133,2012,766,75682
13133,2017,143,48569
13135,2012,37,10671
13135,2017,32,10468
13137,2012,1396,25723
13137,2017,382,37927
13139,2012,768,40690
13139,2017,462,51989
13141,2012,120,38777
13141,2017,21,31963
13143,2012,42,26954
13143,2017,425,26815
13145,2012,186,41904
13145,2017,1736,32435
13147,2012,321,66310
13147,2017,301,68259
13149,2012,24,38448
13149,2017,515,27067
13151,2012,156,12495
13151,2017,190,21681
13153,2012,5551,39131
13153,2017,4368,47451
13155,2012,10960,122806
13155,2017,10185,148486
13157,2012,617,74647
13157,2017,1287,77370
13159,2012,314,42870
13159,2017,192,43819
13161,2012,7305,71609
13161,2017,5551,78886
13163,2012,6469,124973
13163,2017,6362,145588
13165,2012,9085,79313
13165,2017,11011,91401
13167,2012,806,74831
13167,2017,3263,57037
13169,2012,48,36437
13169,2017,133,23018
13171,2012,935,32325
13171,2017,170,35479
13173,2012,(D),46773
13173,2017,995,41610
13175,2012,1272,154799
13175,2017,1688,184227
13177,2012,1525,120325
13177,2017,3283,105439
13179,2012,0,6373
13179,2017,NA,6217
13181,2012,10,18292
13181,2017,(D),23607
13183,2012,90,10180
13183,2017,(D),10266
13185,2012,1534,61820
13185,2017,1155,64948
13187,2012,152,26960
13187,2017,396,17382
13189,2012,73,43669
13189,2017,480,37989
13191,2012,(D),9747
13191,2017,(D),17062
13193,2012,1230,111354
13193,2017,2644,101126
13195,2012,1304,68566
13195,2017,1960,71191
13197,2012,693,63931
13197,2017,457,47370
13199,2012,792,71031
13199,2017,970,62054
13201,2012,7108,80192
13201,2017,11670,95761
13205,2012,9977,189639
13205,2017,9188,191137
13207,2012,109,48610
13207,2017,380,34498
13209,2012,1649,59570
13209,2017,3054,57732
13211,2012,1756,88251
13211,2017,1627,94513
13213,2012,181,47189
13213,2017,214,46960
13215,2012,0,9286
13215,2017,43,4273
13217,2012,95,42767
13217,2017,629,40722
13219,2012,321,35667
13219,2017,537,45285
13221,2012,900,72932
13221,2017,1731,80806
13223,2012,0,14831
13223,2017,331,8368
13225,2012,3635,58123
13225,2017,172,35325
13227,2012,11,16580
13227,2017,47,16838
13229,2012,2981,80925
13229,2017,3304,78230
13231,2012,315,40871
13231,2017,399,38065
13233,2012,280,62261
13233,2017,5249,44971
13235,2012,4103,52624
13235,2017,6059,62520
13237,2012,230,38277
13237,2017,(D),28498
13239,2012,(D),19280
13239,2017,(D),9103
13241,2012,65,7606
13241,2017,(D),8064
13243,2012,3760,121892
13243,2017,5471,119235
13245,2012,276,13300
13245,2017,424,13908
13247,2012,(D),4218
13247,2017,NA,5466
13249,2012,(D),34894
13249,2017,576,35434
13251,2012,2101,187122
13251,2017,6088,180493
13253,2012,9519,104991
13253,2017,16841,88203
13255,2012,80,17037
13255,2017,275,18821
13257,2012,217,19509
13257,2017,178,18409
13259,2012,3268,51077
13259,2017,73,59254
13261,2012,4207,174733
13261,2017,6498,160353
13263,2012,76,30193
13263,2017,89,33885
13265,2012,153,17965
13265,2017,(D),13798
13267,2012,167,113592
13267,2017,2445,107505
13269,2012,1051,64139
13269,2017,675,61501
13271,2012,1009,52186
13271,2017,2195,66619
13273,2012,4053,134071
13273,2017,12904,120677
13275,2012,14449,187277
13275,2017,23454,173208
13277,2012,3553,120624
13277,2017,7189,84443
13279,2012,1267,80620
13279,2017,1675,73223
13281,2012,32,6735
13281,2017,79,8416
13283,2012,474,36958
13283,2017,410,35138
13285,2012,335,44795
13285,2017,749,32416
13287,2012,7738,92495
13287,2017,15835,86954
13289,2012,533,39222
13289,2017,556,38690
13291,2012,117,19441
13291,2017,199,20701
13293,2012,41,31645
13293,2017,677,44783
13295,2012,246,90761
13295,2017,357,79706
13297,2012,320,47416
13297,2017,349,52459
13299,2012,860,63496
13299,2017,(D),56705
13301,2012,56,38116
13301,2017,410,34423
13303,2012,2489,96131
13303,2017,1053,99902
13305,2012,1978,62522
13305,2017,1069,62268
13307,2012,2615,59722
13307,2017,3529,48056
13309,2012,918,56608
13309,2017,98,50653
13311,2012,24,18707
13311,2017,267,23475
13313,2012,100,36552
13313,2017,119,39107
13315,2012,7988,90704
13315,2017,13599,115451
13317,2012,681,91121
13317,2017,1127,93729
13319,2012,271,30355
13319,2017,337,15908
13321,2012,19288,217735
13321,2017,32148,229384
16001,2012,1877,112370
16001,2017,2965,144049
16003,2012,370,163054
16003,2017,22,136227
16005,2012,963,315038
16005,2017,1690,295095
16007,2012,948,296959
16007,2017,711,257863
16009,2012,1244,139944
16009,2017,390,146615
16011,2012,5947,932944
16011,2017,8060,869512
16013,2012,1392,211228
16013,2017,1029,179130
16015,2012,(D),53198
16015,2017,(D),(D)
16017,2012,445,89331
16017,2017,317,80623
16019,2012,2896,418881
16019,2017,5462,409279
16021,2012,383,68884
16021,2017,2075,75186
16023,2012,2238,130366
16023,2017,2273,125193
16025,2012,(D),192672
16025,2017,444,167639
16027,2012,5550,274952
16027,2017,7011,303836
16029,2012,1371,366499
16029,2017,2988,394581
16031,2012,5844,643346
16031,2017,11742,611055
16033,2012,(D),149411
16033,2017,1072,151296
16035,2012,248,56556
16035,2017,453,72615
16037,2012,1434,147837
16037,2017,2123,142776
16039,2012,1944,358454
16039,2017,12062,344820
16041,2012,1869,228382
16041,2017,3092,262609
16043,2012,2828,279578
16043,2017,4690,316332
16045,2012,685,183177
16045,2017,337,178984
16047,2012,7407,188353
16047,2017,9653,239640
16049,2012,1019,537428
16049,2017,1420,639222
16051,2012,3713,333522
16051,2017,2383,322776
16053,2012,6013,171643
16053,2017,4940,188075
16055,2012,661,139705
16055,2017,543,124240
16057,2012,2874,349532
16057,2017,3856,416490
16059,2012,1716,173956
16059,2017,1523,187374
16061,2012,1068,200435
16061,2017,1055,221280
16063,2012,1319,134911
16063,2017,3364,129724
16065,2012,2818,196046
16065,2017,1302,201372
16067,2012,5231,267567
16067,2017,3169,244094
16069,2012,1390,381587
16069,2017,1728,322199
16071,2012,1406,319789
16071,2017,370,328652
16073,2012,3524,727338
16073,2017,3261,748771
16075,2012,730,162622
16075,2017,2538,157090
16077,2012,11861,486377
16077,2017,1814,467104
16079,2012,0,2435
16079,2017,NA,(D)
16081,2012,1944,117404
16081,2017,3417,133199
16083,2012,6669,468809
16083,2017,10336,484004
16085,2012,8,50959
16085,2017,(D),61251
16087,2012,831,468433
16087,2017,1159,426494
17001,2012,6055,477683
17001,2017,12092,388747
17003,2012,(D),50484
17003,2017,873,62425
17005,2012,2476,172840
17005,2017,3871,198339
17007,2012,660,113500
17007,2017,1385,134759
17009,2012,854,141657
17009,2017,3727,137523
17011,2012,5490,437055
17011,2017,13387,450132
17013,2012,1632,114628
17013,2017,901,87750
17015,2012,9605,245721
17015,2017,14916,256132
17017,2012,2496,197561
17017,2017,9006,182688
17019,2012,7272,582689
17019,2017,9801,616493
17021,2012,1117,402703
17021,2017,2344,373631
17023,2012,2100,261080
17023,2017,1980,266804
17025,2012,2211,294311
17025,2017,11845,270319
17027,2012,3561,235744
17027,2017,8809,285489
17029,2012,1853,236864
17029,2017,4039,266773
17031,2012,222,11903
17031,2017,298,8499
17033,2012,4670,219649
17033,2017,6785,214995
17035,2012,1497,171760
17035,2017,2822,170149
17037,2012,5975,371777
17037,2017,7646,397771
17039,2012,447,185936
17039,2017,1263,195512
17041,2012,1692,244832
17041,2017,2597,262839
17043,2012,46,2160
17043,2017,9,7252
17045,2012,976,318164
17045,2017,1733,351684
17047,2012,1307,111748
17047,2017,8637,106737
17049,2012,3096,299389
17049,2017,10009,287023
17051,2012,3069,349055
17051,2017,5410,303140
17053,2012,1658,270240
17053,2017,6324,308181
17055,2012,1808,173776
17055,2017,5616,181349
17057,2012,2561,402425
17057,2017,11258,355010
17059,2012,4142,177809
17059,2017,5655,186250
17061,2012,2161,328133
17061,2017,4049,290124
17063,2012,1208,233154
17063,2017,3090,217016
17065,2012,4020,200603
17065,2017,6085,223319
17067,2012,3113,455291
17067,2017,11572,386262
17069,2012,(D),36584
17069,2017,310,33205
17071,2012,1966,192914
17071,2017,3186,171574
17073,2012,4483,484285
17073,2017,13108,479294
17075,2012,5719,681289
17075,2017,25126,669280
17077,2012,2195,221621
17077,2017,7335,214197
17079,2012,1921,249617
17079,2017,9412,250766
